;Site;Auteur;dateComm;dateSejour;Localisation;Note;Titre;Avis
615;Disney Newport Bay Club;Clem;fevrier 2020;septembre 2016;;2;Déçue de si peu d’attention;Bonjour,  Très déçue de l’accueil. J’étais déjà venue deux fois dans la suite présidentielle le séjour c’était très bien déroulé mais cela c’était il y a 7 ans ... là nous arrivons, suite à notre réservation par téléphone on notifie les 18 ans de ma sœur. Aucune attention en chambre je vais voir la conciergerie si ils peuvent encore faire quelques chose pour le dîner. On me répond que c’est compliqué de mettre en place maintenant qu’ils n’ont pas reçu la note .... (alors que nous avons prévenu en avance)  Je demande pour des sachets de thé pour la chambre car manquant et  normalement obligatoires dans une chambre d’un 4 étoiles !  On me dit qu’il faut aller voir au bar. Je vais donc voir et la serveuse (très gentille) me dit qu’il faut appeler le room service. Je retourne au…
616;Disney Newport Bay Club;Antoine-guibert;fevrier 2020;septembre 2016;Laurens France;4;Excellent service ;2ème séjour dans cet hôtel que nous apprécions.  Le surclassement en catégorie compass vaut vraiment le coup car le petit déjeuner est d’un tout autre niveau que le buffet « classique » facturé 27€ par adulte et 23€ par enfant. Si vous le pouvez faites ce petit effort financier, vous ne le regretterez pas car ensuite sur place c’est complet (a notre grand regret!).   La piscine chauffée à 29 degrés est agréable mais sans plus. Plusieurs MNS sont là pour la sécurité de vos enfants.  Le buffet dîner le soir est très correct.  Magasin Disney à l’intérieur.   À 5 minutes à pieds du parc pour lequel il faut passer un contrôle de sécurité qui vous fait entrer dans Disney Village.  Nous avons eu un loupé informatique sur notre réservation mais le responsable accueil du samedi soir a…
617;Disney Newport Bay Club;isaetco;fevrier 2020;septembre 2016;Milizac France;3;Sympa;La chambre est assez grande .Nous avons apprécié la piscine et le hammam après une journée sur le parc . Pas de plateau de courtoisie pour un 4 étoile étonnant . Hôtel très grand , un vrai labyrinthe . En bref bien mais ne vaut pas son prix ni ses étoiles : cela n a pour autant pas gâché notre séjour .
618;Disney Newport Bay Club;Jacques R;fevrier 2020;septembre 2016;Paris France;1;A fuir .... Horrible ;Nous avons choisi cet hôtel car il était censé être standing au regard de son nombre d’étoiles. Or nous avons été très déçus tant de l’accueil que de la qualité de la chambre. Mais le pire à été le dîner.... En effet après une journée de parc nous avons voulu récupérer nos chambres soit vers 19h00. Cependant personne ne nous a indiqué la procédure à suivre de sorte que nous avons fait la queue pendant un quart d’heure pour finalement nous dire de faire une queue à un autre endroit. Fatigués tant par la journée que par cette attenté nous avons fini par accéder à notre chambre. Nous avons eu la désagréable surprise de constater des poils noirs dans le lavabo, outre une baignoire émaillée à plusieurs endroits sans oublier des cheveux blonds restés sur la moquette. Tout ceci n’est…
619;Disney Newport Bay Club;berengere p;fevrier 2020;septembre 2016;Lille France;3;Décevant;J'avais pris une chambre supérieure côté lac: un vrai labyrinthe pour trouver notre chambre. Chambre basique ne correspondant pas à un 4 étoiles. Aucune boisson dans la chambre, si avec le pass dans le couloir à 5 min de la chambre... Nous étions 4, 2 petits flacons Mickey.... Les enfants étaient déçus.. Mauvaise gestion des contrôles entre l'hôtel et l'entrée du parc le matin, trop de queue... Pas assez de bornes ouvertes à l'entrée des parcs, trop d'attente... Rapport qualité prix hyper décevant... Pas de magie..
620;Disney Newport Bay Club;ISA C;fevrier 2020;septembre 2016;MARGENCY VAL D'OISE;4;Belle hôtel;Un hôtel avec du personnel à l’écoute et souriant. Décoration à thème avec du bois et du bleu partout, très bateau de croisière. J’avait demandé une chambre proche de la piscine pour ne pas faire 10mins de marche pour y aller car l’hôtel est vaste et les couloirs interminables.  Arrivée dans la chambre nous avons trouvé des bouteilles et affaires mais très vite la femme de chambre est venue les récupérer. Nous sommes arrivés en chambre pour 15h10 car impossible de récupérer les clés enfin le passé même 30 mins avant 15h, pour cause les chambres ne sont pas prêtes. Chambre tres spacieuse, dressing et salle de bain parfait, deux grands lits, une décoration aussi bateau.  Un point négatif la télévision minuscule!! Pas possible pour un 4 étoiles. En revanche la piscine est top, avec…
621;Disney Newport Bay Club;Olivier;fevrier 2020;septembre 2016;Nantes France;1;Refus d'accès;Alors que nous passions la journée au parc Disneyland Paris, nous avons voulu aller à la boutique du l'hôtel Newport  Bay. L'accès nous a été refusé sous prétexte que nous n'avions pas de réservation pour cet hôtel !! Nous voulions juste accéder à la boutique pour acheter une peluche Stitch qu'on ne trouve qu'à cet endroit. Ma fille a apprécié de se voir refuser l'entrée comme une criminelle !!!
622;Disney Newport Bay Club;badionbarbara;fevrier 2020;septembre 2016;;5;super séjour;"très bel hôtel, le personnel très présent et à l'écoute, les chambres, spacieuses, côte à  côte  comme on l'avait demandé ;  propreté impeccable. Hôtel situé à 10 minutes à pied du parc ! le petit déjeuner très copieux, en même temps, le prix est conséquent mais pour un tel séjour il faut savoir se faire plaisir ! "
623;Disney Newport Bay Club;Jeremy D;fevrier 2020;septembre 2016;Cancún Mexique;2;Nuit dans l’hôtel pour visiter disney ;Ma femme et moi avons passé la nuit du 17 au 18 février dans l’hôtel. On est passer de l’hôtel santa fe a newport... l’hôtel à première vue paraît très bien, bonne sécurité, belles décorations,... nous sommes arrivés très tôt avant le checking pour pouvoir aller au parc plus tôt. L’hôtel a un service pour garder les bagages en attendant de pouvoir utiliser l’habitation. Quand nous sommes arrivés dans la soirée pour recevoir les “clés” de l’habitation, une femme “en entrainement” nous a recu.. accueil de très loin le meilleur qu’on a eu... on ne comprenais rien a ce qu’elle disait, elle essayer de parler un espagnol qui n’était pas digne d’être parler.. elle passait du français, a l’anglais au néerlandais et a l’espagnol sans cesse et la seule langue qu’on pouvait comprendre plus…
624;Disney Newport Bay Club;Adrien B;fevrier 2020;septembre 2016;Porto-Vecchio France;4;Bien mais pas au niveau d un vrai 4 étoiles;La chambre est simple propre mais avec quelque bémols mobilier un peu abîmé des endroits où le papier peint se décolle une paire de gants retrouvés sous un lit d un autre séjour un cheveux sur le bord de la baignoire.La piscine est bien,très chlorée pour l hygiène c est un peu obligatoire j imagine.le parc est accessible en 10min a pied. On pardonne ces écarts parce que c est Disney sinon j aurait mis 3.
625;Disney Newport Bay Club;isabellemilh;fevrier 2020;septembre 2016;Nîmes France;5;Hôtel Newport;Excellent accueil. Agréable surprise à notre arrivée à l'hôtel: nous avons été surclassés et des attentions attendaient notre fille qui fêtait son anniversaire. Très bel hôtel, personnel à l'écoute et toujours souriant. 
626;Disney Newport Bay Club;Alexandre L;fevrier 2020;septembre 2016;Sarrebourg France;3;Déçu pour un hotel Disney;Pour arriver à la chambre, il a fallu prendre plusieurs couloirs interminables, ça ne donne pas envie de ressortir de la chambre une fois arrivé. A l'intérieur, déception garantie pour un hotel de cette gamme la. Pas une vraie salle de bain, lavabo dans l'entrée, derrière un simple rideau puis une porte avec baignoire et toilette. Tuyau de douche en plastique, cela fait très bas de gamme, bac de baignoire écaillée. Dans la chambre, aucun produit d,'accueil. Pour ce qui est de la restauration, nous avons testé uniquement le petit-déjeuner buffet, et la tout y était, rien à redire.  Ce fût mon premier séjour dans un hôtel Disney et ce fût un grande déception. Heureusement que sur 2 jours, on passe plus de temps dans les parcs qu'à l'hôtel. Vraiment à déconseiller pour les long…
627;Disney Newport Bay Club;julienblase;fevrier 2020;septembre 2016;Ecaussinnes Belgique;3;Propreté;Très déçu de la propreté! Poils et cheveux dans la salle de bain, joint de la paroi de douche détaché et literie déchirée. Nous l'avons fait remarquer à l'accueil en disant qu'ils allaient faire le nécessaire et à notre retour du parc rien n'avait changé alors qu'ils étaient venu car il y avait une petite peluche sur le lit de notre fils. Nous sommes donc retourner de nouveau à l'accueil et nous avons eu la responsable des femmes de chambres qui est venue constater et elle nous a invité à redescendre au bar de l’hôtel (soft offert) en attendant qu'ils refassent de nouveau la chambre, on final nous avons pu la regagner à prêt de 23h!!!! Étant réveillé depuis 4h, ça fait beaucoup pour un enfant. On regrette vraiment notre choix par rapport à l'année dernière où nous étions au…
628;Disney Newport Bay Club;Gaelle p;fevrier 2020;septembre 2016;Vieillevigne France;3;A Revoir ;Habitués des hôtels nous avons biensur trouvé le lieu magnifique. Les chambres sont très belles également et très propres. Cependant pour un quatre étoiles, nous aurions apprécié un vrai grand lit. Et surtout vous devriez vous inspirer des hôtels du val d’Europe qui pour moins cher propose au minium une bouilloire, un mini bar et des produits partenaires : Nuxe, galettes st Michel. Ce serait un vrai plus. Le prix à 28€ le petit dej ne peut se justifier en aucun cas. A 20€ nous l’aurions pris, nous étions 6. À 28€ non. Je sais que c’est un prix courant mais je ne comprends pas la démarche. Vous en vendriez bien plus à un prix plus accessible... 
629;Disney Newport Bay Club;Stephouuuuu;fevrier 2020;septembre 2016;Bourg-en-Bresse France;5;Magnifique Saint Valentin ;Nous sommes allés dans le Newport Bay Club pour un week-end à Disney lors de la saint Valentin. Nous avions pris une chambre en compass club.  Rien à redire ! La chambre était Niquel, vue imprenable sur le lac! Les sévices du compass sont au top. Petit déjeuner de rois et espace lounge parfait !  Le seul bémol serait pour la livraison d’un plateau avec chocolat / vin / macaron et une rose. Nous n’avons pas eu la rose et la moitié du chocolat demandé pour la surprise.  Tout le reste était parfait et nous retournerons la bas sans hésitation !
630;Disney Newport Bay Club;bidartelodie;fevrier 2020;septembre 2016;Merignac;5;Merveilleux hôtel;L’hôtel Newport Bay Club de Disneyland Paris est un véritable paradis sur terre. L’hôtel est incroyable, les employés sont d’une gentillesse, d’une amabilité parfaite. Les services proposés par l'hôtel sont très bien et fonctionnent parfaitement (conciergerie, réception, boutique). La chambre était exceptionnelle avec tout ce dont nous avons besoin à l’intérieur. Pour ce qui est des repas, nous avons pris des petit-déjeuners et un repas le soir au restaurant buffet de l’hôtel. Pour le petit-déjeuner, tout était incroyable. Les produits étaient frais, sans rupture et délicieux. Que ce soit les boissons, les viennoiseries, les pains, le salé, les fruits etc tout était parfait.  Pour ce qui est du repas buffet, tout était très bon. Le seul bémol que nous avons trouvé est le peu de…
631;Disney Newport Bay Club;marseille2606;fevrier 2020;septembre 2016;Trooz Belgique;1;À revoir absolument ;Grande déception, grand déception La chambre défraîchie carrelage cassé, lavabo cassé, même pas une brosse de toilette, même pas une bouilloire, personnel pas top dans l'état ça ne vaut pas 4 étoiles, petit déjeuner sans plus ne vaut pas non plus son prix. 
632;Disney Newport Bay Club;Stéphane V;fevrier 2020;septembre 2016;Namur Belgique;5;Un quatre étoiles Disney, comme on s'y attendait;Un quatre étoiles Disney, comme on s'y attendait. Personnel prévenant, équipements de chambre très corrects. 1 piscine, 2 restaurants, 1 bar, 1 parking prévu... Il manquait juste un mini-bar dans la chambre (cela me paraissait obligatoire en 4 étoiles).
633;Disney Newport Bay Club;lionelcorre25600;fevrier 2020;septembre 2016;Sochaux France;3;mauvais expérience;chambre correcte ons pu l avoir à notre arrivées à 8 h 30 .super vue  accueil bien. petit bémol le service conciergerie. nous avions pris des réservations demi pension . ne connaissant rien au fonctionnement nous nous somme adresser à la conciergerie pour transformer nos demi pension.le concierge nous transforme un repas pour assister à la revue buffalo bill avec un supplément .et une transformation pour pouvoir manger dans l hotel. après avoir payer la somme demander nous somme parti léger au parc.le soir venu nous nous somme rendu au restaurant de l hôtel. bonne accueil  nous demandons ce que nous avons avec nos nouveaux passe ,c est là que la surprise arrive nous avons droit à rien .après plusieurs minutes une chefayon du service de conciergerie nous stop notre repas et gâche…
634;Disney Newport Bay Club;Pamplona;janvier 2020;septembre 2016;Amiens France;4;C’est Disney ...;Le titre résume assez bien les choses. C’est Disney... donc on paye. Le prix de la chambre ne vaut absolument pas la prestation. Mais vous êtes très vite dans les parcs, c’est l’avantage. A pieds cela va très vite ! Les chambres sont simples mais propres. Même pas un peignoir ou une paire de chaussons pour accéder à la piscine, pas une bouilloire pour un café le matin, rien. Juste du gel douche. Même pas une petite attention pour les enfants. Enfin bref. Cela est top d’être si proche et de passer une nuit sur place mais le prix est abusé. Néanmoins quel bonheur de rester dans l’ambiance Disney.
635;Disney Newport Bay Club;Denis2069;fevrier 2020;septembre 2016;Enghien Belgique;4;Très bon séjours en famille;Chambre agréable et bien insonorisée, bonne literie mais largeur un peu juste pour deux adultes. Toujours un problème pour garder l'eau de la douche à température constante...  Lors de notre précédent séjour (en 2016), la qualité du petit déjeuner était vraiment très limite, mais maintenant ils ont bien rehaussé la qualité... donc très bonne surprise.
636;Disney Newport Bay Club;Francisco;fevrier 2020;septembre 2016;;3;Hotel à Rafraichir;Bonjour,  Ayant séjourné dans les 4 hotels disneys, celui-là est, pour moi, me moins bien.  Il est à rafraîchir et un peu trop grand.  Les chambres sont vieillissantes. J'ai pris le compass club moins bien que le golden forest du sequoia.  Point positifs : Le petit dej et la piscine  
637;Disney Newport Bay Club;mo58;fevrier 2020;septembre 2016;La Seyne-sur-Mer France;5;Très bon séjour ;Nous avons passé deux nuits dans cet hôtel, impeccable, propre, chambre agréable, bien insonorisée, piscine tranquille, serviettes à disposition, personnel souriant. Très bien situé à dix minutes à pied de l entrée du parc. Nous le conseillons sans problème. 
638;Disney Newport Bay Club;Katy;juillet 2019;septembre 2016;;5;Paradisiaque !;Réservé 1 semaine pour fêter l'anniversaire de ma fille.  Tout y est magnifique.  Chambre vue sur le lac, hôtel chaleureux où l'évasion est au rendez-vous.  Chambre spacieuse et nickel. A 10 minutes à pied ballade par le lac et traversée du Disney Village. Possibilités de prendre la navette bus gratuite de l'entrée de l'hôtel jusqu'à l'entrée du parc dIsneyland.   Cast Members disponibles, agréables, souriants. Piscine spacieuse avec intérieur et extérieur. Salle de sport, hammam et jacuzzi accessibles aux résidents de l'hôtel. Petite boutique à l'intérieur de l'hôtel où les Casts Members se coupent en 4 pour satisfaire vos besoins et demandes. Un séjour inoubliable ! Bien que les températures estivales  frolaient les 40°! Boissons fraîches proposées aux distributeurs à l'entrée…
639;Disney Newport Bay Club;Miminathlala;janvier 2020;septembre 2016;;5;a faire !!!;"Rien à dire, tout est parfait !  Alors oui c'est sûr on paie assez cher le week end ! Mais franchement au moins on sait pourquoi on va dans un hôtel Disney... service, accueil, propreté,personnel, amabilité, standing, chambre grandiose : tout est irréprochable !  Par contre je note mal le petit déjeuner, pas pour sa qualité et ses quantités mais pour son prix ; 23€ par enfant c'est très cher payé. 28€/ adulte je peux comprendre mais pas pour les enfants. Bref de la magie en veux tu ? En voilà !  Mon enfant de 4 ans en a encore des étoiles plein les yeux ( et en plus elle a dormi dans un lit avec une tête de lit oreille de Mickey ... parfait )"
640;Disney Newport Bay Club;Candice R.;fevrier 2020;septembre 2016;Nantes France;3;Déception !;Nous avons séjourné à l’hôtel Newport pour deux jours et une nuit ! Habitués du New York et son Empire State Club, nous avons été orientés par la centrale de réservation dans cet hôtel soi-disant « équivalent » étant donné la fermeture temporaire de l’hôtel New York ! Ce fut décevant ....  Nous avions réservé la suite présidentielle et nous nous attendions en conséquence à un accueil particulier .... il n’en a rien été, nous n’avons même pas été accompagnés jusqu’à la suite et accueil quelconque ! Cependant présence de champagne, macarons et cadeaux dans la chambre, toujours appréciables !  Cet hôtel n’est pas au niveau du New York, le Compass Club est bien en dessous, le goûter servi présentait très peu de choix, club lounge très bruyant, service pas à la hauteur ! De plus le…
641;Disney Newport Bay Club;Clems.R;fevrier 2020;septembre 2016;L'Isle-sur-la-Sorgue France;5;Très bien !!;Bon accueil, il y a eu un petit « couac » dans la chambre car nos lits n’étaient pas très propres, mais le service de nettoyage a été efficace et nous avons même eu le droit à quelques petites attentions (une peluche pour notre enfant et quelques chocolats).  Le restaurant Cap Code est juste exceptionnel, buffet à volonté avec de très bons produits, pour tous les goûts, que ce soit pour le dîner ou même le petit-déjeuner qui étaient très copieux.
642;Disney Newport Bay Club;4YLOVE;decembre 2019;septembre 2016;Tignieu-Jameyzieu France;5;Splendide;Nouveau séjour au Newport Bay Club, cette fois entièrement rénové.  Voyage organisé par mon Comité d’entreprise donc réception différenciée des autres vacanciers ce qui fort agréable. Très belle chambre avec 2 grands lits. Nous avions fait rajouté 1lit bébé pour notre fils de 2 ans. Buffet du petit déjeuner au top. Navette bien pratique pour se rendre au parc. En résumé, foncez-y!
643;Disney Newport Bay Club;Milie M;fevrier 2020;septembre 2016;;5;génial;hotel tres agréable decore de la chambre super. le top c est la navette pour nous enmener aux parcs, pas besoins de se casser la tête pour se demander ou garer ca voiture sur le parc vus que le parking de l l'hotel est gratuit et surveillé.  le personnel de l hotel est tres gentil . on a passées un sejour agréable même pour 1 nuit. nous reviendrons avec plaisir
644;Disney Newport Bay Club;T.PERALTA;janvier 2020;septembre 2016;France;5;Magique;C’était pour moi la première fois a Disney du 31/01 au 1/02 (sauf pour mes enfants et ma femme)) Dès l'arrivée vous serez charmés et tout vous parait féerique. Personnel de l’hôtel souriant,attentif et professionnel ainsi que les agents de sécurité. Une nuit dans une chambre impeccable.
645;Disney Newport Bay Club;manon13;fevrier 2020;septembre 2016;;5;Manon;Très bon séjour comme d’habitude rien a reprocher à cette hôtel. Chambre confortable, le restaurant dans l'hôtel est vraiment top il y’a beaucoup de choix et le prix est attractif  . Le personnel est a l'écoute 
646;Disney Newport Bay Club;Anthony Garcia;fevrier 2020;septembre 2016;Brunstatt France;5;Super hotel;Hôtel Disney par excellence, le personnel y est par définition très serviable et vraiment gentil.   Les lits sont cependant un peu petit. 140 cm mais je pense que c’est un mal acceptable pour avoir deux lits dans la chambre et ne pas être obligé de réserver deux chambres en cas de voyage en famille  A deux pas du village Disney et des parcs.  Petit dej et repas du soir à volonté. Plutôt pas mal  
647;Disney Newport Bay Club;Olivier;fevrier 2020;septembre 2016;Sémussac France;5;1 er voyage famille ;Très bel hôtel personnel au top accueillant chaleureux à refaire Chambre super équiper spacieuse  Distributeur à café boutiques restaurant tout est top  Pour un séjour en famille avec piscine c’était très bien sans parler du parc qui les a ravis
648;Disney Newport Bay Club;julien10552020;fevrier 2020;septembre 2016;Valenciennes France;5;Du reve a la realité;c'était vraiment  impeccable: du nombre de services et leurs qualité, le niveau de qualité des chambre et leurs propreté en passant par le personnel d'une gentillesse remarquable tout était nickel pour passer un  bon séjour
649;Disney Newport Bay Club;lasudiste83;fevrier 2020;septembre 2016;Toulon France;3;Ne vaut pas un 4 etoiles;Première et donc la dernière fois dans cet hôtel de Disneyland Paris.  Nous avons fait plusieurs fois le Sequoia Lodge , et l’année dernière le Cheyenne qui a était entièrement rénové et bien le Newport Bay club( bien  que plus cher et 4 étoiles) est celui que nous avons le moins apprécié, que ce soit concernant l’amabilité des hôtesses à l’accueil, de la décoration et des finitions de la chambre qui laisse franchement à désirer pour un 4 étoiles, vieux meubles usées, peinture qui s’effrite, pas de peignoir, ni chausson , nous étions en face des 4 ascenseurs  en plus donc nous entendions les portes s’ouvrir à chaque fois.  Pour aller à la piscine il faut un plan, une vraie galère.  Bref nous ne reviendrons jamais dans cet hôtel c’est certains . 
650;Disney Newport Bay Club;Alexina L;fevrier 2020;septembre 2016;Langon France;5;Magnifique ;Qu'elle magnifique hôtel ! Que ce soit extérieur ou intérieur. Nous étions en Compass Club avec une réception privé, un petit dejeuner extraordinaire dans une pièce à part magnifique le goûter offert été juste une tuerie. Les chambres sont très bien, spacieuse.  Merci à toutes l'équipe de l'hôtel  
651;Disney Newport Bay Club;albert95000;fevrier 2020;septembre 2016;Domont France;3;Affaire ;L hôtel est super grand et personnel d accueil très professionnel dommage que au niveau de ménage au niveau des parties me commune correspondent pas au niveau de l hôtel ( nous sommes passés plusieurs fois de 18h a 8 h ) 
652;Disney Newport Bay Club;ASI;fevrier 2020;septembre 2016;;3;Hôtel disneys-newport-bay-club;Hôtel confortable dans l’ensemble, nombreux services (piscines restaurants bars). Le resto bat code (buffet) est très bien mais un peu cher. Une conciergerie qui n’est pas à la hauteur et désagréable, si vous avez un problème la seule chose qu’on vous dira c’est qu’ils ne peuvent rien pour vous ! De plus quand on regarde dans les détails, ce n’est pas à la hauteur d’un 4 étoiles (rideaux dans la chambre trop petits le jour passe !) pas de mini bar pas de café thé... bref un énorme complexe, satisfaisant pour une nuit mais pas plus !
653;Disney Newport Bay Club;ansseaudevos;janvier 2020;septembre 2016;;4;Séjour familial à Disneyland;Magnifique séjour à Disneyland Paris, malgré une météo en demi-teinte. Le show Star Wars est grandiose ! A voir absolument pour tous les admirateurs de Star Wars ! La parade dans le parc Disney est magnifique, le dragon est magique et en met plein la vue, même aux adultes :-)
654;Disney Newport Bay Club;Olivier R;fevrier 2020;septembre 2016;Lyon France;4;Plutôt pas mal;C’est propre, c’est calme et le personnel est très agréable. Notre chambre était confortable, le seul bémol étrange : pas de petites attentions (bouteille d’eau, thé, etc) qu’on retrouve aujourd’hui dans la plupart des hôtels . Un coffre fort dans la chambre mais pas de mini bar.
655;Disney Newport Bay Club;Lyes H;fevrier 2020;septembre 2016;Montataire France;4;Super hotel;Chambre spacieuse, nous étions pourtant 4. La piscine est vraiment superbe. Le Petit déjeuner est varié, le buffet est excellent. Seul petit bémol, il n'y avait plus de place de parking de disponible. Nous avons été redirigé vers le parking visiteur principal du parc. Heureusement qu'il y a une navette entre le parc et l'hôtel environ toute les 10mn, et ce de 6h30 a 23h30. Mis à part ce seul petit problème, je recommande vivement.
656;Disney Newport Bay Club;emilie b;janvier 2020;septembre 2016;Lyon France;4;Bien ;"Hôtel bien, mais qui mérite au prix où l’on paye d’être rafraîchi. Un peu vieillissant parfois à certains endroits. Sinon la literie est excellente par contre, matelas bien moelleux, ça c’est agréable.  Grande salle de bain avec beaucoup de serviettes et peignoirs de bain avec chaussons. Petit gel douche Mickey ;-)   Il y a aussi du thé et une nespresso avec capsules de café dans la chambre ( c’est super quand on a pris le petit déjeuner)  Personnel très sympa et une belle boutique au rdv pour les emplettes. "
657;Disney Newport Bay Club;PATSIC;janvier 2020;septembre 2016;;4;séjour famille;le prix des repas au restaurant yacht club du new port hôtel est injustifié. Par contre en ce qui concerne la propreté et l'amabilité, la disponibilité et la gentillesse du personnel dans la globalité (hôtel et parc) rien à redire, tout est au top !!!!
658;Disney Newport Bay Club;C2R;janvier 2020;septembre 2016;France;5;Très bel hotel;Un superbe hôtel tant à l’intérieur qu’à l’extérieur, sur le thème maritime.  Un accueil à la réception souriant et convivial.  La chambre est grande et bien thématisée. Nous étions dans une chambre dans une des ailes extrêmes de l’hôtel et, contrairement aux autres avis, cela ne nous a pas dérangé. La vue lac est un vrai plus. Très bonne isolation, très bon petit déjeuner. La piscine y est agréable.  Nous recommandons cet hôtel, proche du parc et du Disney Village. 
659;Disney Newport Bay Club;Emilie T;fevrier 2020;septembre 2016;;5;Inoubliable;C'était une première expérience dans un hôtel disney... Nous sommes ravis. Hôtel magnifique, très propre, chambre spacieuse même à 4. Personnel de l'accueil très souriant et agréable.  Très belle piscine, serviettes, brassards pour enfants fournis. Le restaurant est top. Buffet à volonté très varié et très bon. Le personnel du restaurant est aux petits soins. L'hôtel se trouve à 15 min à pied des parcs. Ça se fait bien, nous n'avons jamais pris les navettes. Super expérience ! On reviendra c'est sur !
660;Disney Newport Bay Club;Vagabond S;janvier 2020;septembre 2016;;3;Un manque de détail client;La chambre est confortable, mais pour un 4 étoiles, il manque vraiment des attentions clients, comme une bouteille d'eau, une bouilloire avec thé et café, un stylo, un biscuit, ce genre de détails ! C'est inacceptable pour le prix, comparé à d'autres 4 étoiles, et même 3 étoiles que nous avons déjà pu faire... Ca va avec le sentiment qu'à Disney, tout client est un porte monnaie sur patte, rien de plus !
661;Disney Newport Bay Club;Nour;janvier 2020;septembre 2016;;5;Merveilleux;Merveilleux séjours entre amis, des souvenirs inoubliables. L'hôtel était parfait avec un très bon service. Les parcs étaient géniaux et magnifiques. Très bonne ambiance avec un personnel très gentil et à l'écoute. 
662;Disney Newport Bay Club;Angélina34500;fevrier 2020;septembre 2016;Béziers France;5;Merveilleux ! ;Mise à part la difficulté pour comprendre l’accès à l’hôtel via le parc et une hôtesse à la réception qui nous a mal expliqué le chemin à prendre pour rejoindre notre chambre... tout a était parfait ! Chambre propre, fonctionnelle, grande, belle salle de bain, spacieuse, grande baignoire, lit confortable... J’avais peur pour le bruit car beaucoup d’enfants mais je n’est rien entendu, très bonne isolation. Dînez et petit déjeuné au buffet à volonté super ! On c’est régalé, copieux avec du choix et bon ! Personnel souriant et très polis ! Dommage qui j’y suis resté qu’une seule nuit :) 
663;Disney Newport Bay Club;Lilipucia;janvier 2020;septembre 2016;Bloye France;5;Superbe;Quel bon accueil! Une chambre au top et un petit-déjeuner extra! La proximité et le service de qualité feront nul doute sur ma prochaine réservation. Le service compass est superbe et le personnel est très avenant!
664;Disney Newport Bay Club;stellaaix;janvier 2020;septembre 2016;Aix-en-Provence France;2;Honteux pour le prix ,;J ai passé une nuit supplémentaire 325e la nuit seule sans pass , et à ce prix là vous n avez même pas une bouteille d eau offerte dans la chambre , ni de bouilloire pour faire un thé ou un café soluble , la piscine n est pas propre la Maitre nageuse d une antipathie à vous glacer le sang , de ma chambre j essaie de joindre le restaurant je suis restée en attente 7 min et personne ne m a répondu , baignoire qui s effrite , gel douche de qualité médiocre pour un 4 étoiles ,aucunes attention dans les chambres ni dans les salles de bain comme on peut souvent trouver dans des vrais 4 étoiles non ça ne vaut rien, chaîne télé vous n avez presque rien ni même tmc w9 c8 les bases n y sont même pas  Point positif   Le buffet est très bon  Personnel de la réception très sympa  Je ne…
665;Disney Newport Bay Club;dorothythuin;janvier 2020;septembre 2016;;4;Chambre Castle Club vue lac;les Chambres Castle club proposent des petits plus agréables permettant d éviter les files à la reception, un petit dej et un gouter dans un petit salon cosy.On évite ainsi le bruit et la foule. les chambres sont jolies , les restaurants: 1 buffet et un service à table sont très bien.Piscine, sauna, hammam tb.Un des plus beaux hotels de Disney, le prix est un prix disney...
666;Disney Newport Bay Club;Lydie L;janvier 2020;septembre 2016;;3;Qualité au top;Dommage le petit déjeuner room service beaucoup trop cher !!! 35 euros par personne je trouve ça exagéré vu le prix des chambres déjà honnereux. Sinon les chambres avec vu sur le lac sont très bien. 😃
667;Disney Newport Bay Club;Kari Kh;janvier 2020;septembre 2016;Genève Suisse;4;2 adultes 2 enfants / 1 nuit;Court séjour en famille et 2 jours au parc à 10mins à pieds de l’hôtel donc très bien situé.  Les CHAMBRES sont grandes, propres et agréables. Cependant accès aux chambres uniquement à 15h, ce qui avec des enfants en bas âges reste très compliqué.   BUFFET du petit déjeuné pas trop mal fait cependant à ce prix là vu qu’il est extrêmement cher (80 euros pour 2 adultes et 2 enfants qui ne mangent presque rien) on s’attend à du grand standing qui n’est pas du tout au rdv. Ça ne vaut pas du tout le prix si on a un petit peu voyagé et connu plusieurs buffets petits-déjeuners.   Autre bémol : PHOTO PERSONNAGE Disney se trouve à l’hôtel pour prendre des photos avec les enfants et pour ce faire il faut faire la queue. A notre arrivée nous ne le savions pas et notre fille de 2 ans en…
668;Disney Newport Bay Club;Nathalie B;janvier 2020;septembre 2016;Bruxelles Belgique;5;Parfait !!!;Super accueil, super services, nous sommes ravis de notre séjour.  Rien à redire.  Seul bémol s'il en faut un : ns aimerions que des bornes rapides de recharge éléctrique soient installées pr pouvoir recharger notre véhicule sur place.
669;Disney Newport Bay Club;Kali C;janvier 2020;septembre 2016;;5;Tres bel hôtel ;Un super hôtel très bien placé 15 min à pied du parc où 10 min en navette gratuite . Les chambres sont confortables . Des grands complexes mais c’est chaleureux quand même. Tout est très bien organisé . Les restaurants sont très bien , diné et petit déjeuné . Personnel très agréable . 
