pays,titre,note,commentaire,dateSejour,situation,dateCommentaire,photo
Boucau France,Très bel hôtel,5,Hôtel rethématisé MARVEL tout simplement magnifique très belle réception très belle chambre des fresques magnifiques à chaque étage. Chambre décorée avec gout. Literie impeccable. Salle de bains rien à dire gel douche shampoing et après shampoing disponible. Machine à café bouteille d'eau dans la chambre. Très bon séjour.,mai 2022,,Nicolas I a écrit un avis (juin 2022),False
,Marvel...lous,5,Un voyage dans le monde de Disney et Marvel pour le plus grand plaisir des petits et... des grands ! Un service pour les Suites de qualité et un personnel toujours agréable et souriant ... Seul bémol une seule bouteille d'eau par personne pour 3 nuits.... un peu léger mais grâce à la gentillesse de l'intendante nous avons obtenu des bouteilles supplémentaires ,mai 2022,,Alain S a écrit un avis (mai 2022),False
,La magie de Disney,4,Très bel hôtel qui nous met rapidement dans l'ambiance de Disney et du monde Marvel. De la réception à la chambre c'est un enchantement. La proximité du parc est agréable. Le personnel de la réception ainsi que des restaurants et de la boutique sont exceptionnels! Merci au personnel de la super héros station d'avoir partagé le secret de Docteur Strange !  Quelques bémols  que l'on ne devrait cependant pas retrouver dans un établissement 4 étoiles: -la propreté de la piscine ( serviettes au sol non ramassées par les casts traces suspectes sur les portes des vestiaires...) et l'accueil un peu froid  -la propreté des chambres : beaucoup de poussières sous le lit et dans l'armoire effets personnels des anciens occupants retrouvés.  - très mauvaise expérience à la conciergerie :…,mai 2022,,Olivia M a écrit un avis (mai 2022),False
La Baume-de-Transit France,Un séjour magique ,5,Nous avons séjourner 2 nuits dans l'hôtel est vraiement paq déçu   Accueil très très sympa ! Le personnels est vraiment aux petits soins.  Les valises nous ont était déposer en chambre directement. ( Chambre Standard ) et sans supplément   Nous avons passer 2 excellentes nuits ( literie au top du top ) les petites attention comme dans la plupart des hôtels disney fait toujours plaisirs ( eau  café thé)  Un frigo est présent dans la chambre   Nous avons également tester le restaurant buffet à volonté et vraiment pour tout les goûts  3 buffets différents ( americain italien et chinois)   Petit déjeuner le matin également avec beaucoup de choix   Je garde un très bon souvenir de ce séjour et nous reviendrons tres certainement ,avril 2022,,Lucyie T a écrit un avis (mai 2022),True
Arras France,Hôtel récement rénové,4,"Ancien hôtel New York récemment rénové sur le thème Marvel en plein coeur de Disneyland.  Chambres d'excellente qualité spacieuses très bien équipées. La vue sur le lac est magnifique au réveil! Plusieurs restaurants / bars disponibles sur place. Service efficace même si un peu ""sur-fait"".  Seul point négatif : l'espace petit-déjeuner : une ruche bondée de monde trop bruyante. L'aspect cantine abîme le reste de l'expérience.",mai 2022,,Fabien R a écrit un avis (mai 2022),False
,Séjour 1 nuit,4,Très bel hôtel. Le personnel est agréable et a l’écoute. Vraiment pas loin du parc à pied. C’était un premier séjour Disney et honnêtement aucun regret. Le petit déjeuner est à volonté et très varié il y en a pour tout les goûts. Possibilité de déposer vos bagages avant même d’aller au parc et que la chambre soit disponible. Dès que ce sera le cas ils les mettront directement dans la chambre. Je recommande cet hôtel,mai 2022,,Elodie M a écrit un avis (mai 2022),True
Asnieres-sur-Seine France,Merci à tous nous reviendrons.,5,Nous avons réservé une chambre à la dernière minute et nous n'avons pas été déçus ! De la chambre au restaurant ainsi que le petit-déjeuner en buffet les décors et couloirs remplis de dessins ou planches de BD et d'explications le personnel aimable et compétent l'espace extérieur devant l'hôtel la proximité du parc tout était parfait. À refaire !,mai 2022,,Sabi197010 a écrit un avis (mai 2022),False
France,Marvel ,5,Super hôtel magnifique l univers marvel Super grandes chambres j'adore et super avec une grande tv et de beau restaurants original et belle boutique l univers marvel c est superbe grand halles gigantesque d'hôtels magnifique j'adore il y a de tout ,avril 2022,,Luna01 a écrit un avis (avr. 2022),False
Bordeaux France,Un très bel hôtel cependant prétentieux au regard des prestations réelles ,3,Lorsqu'on arrive l'hôtel impressionne par la déco et la mise en scène. Cependant au regard des prix pratiqués il y a trop de choses qui ne vont pas. Dans les chambres les dysfonctionnements sont nombreux avec sur 2 deux chambres un WC qui fuit sans arrêt un pommeau de douche qui tourne sur lui même lorsqu'on allume l'eau (!) un robinet de lavabo qui délivre un filet d'eau... Et que dire de la bouteille d'eau fournie une seule fois pour 5 jours ! Disney chez Accor ils la remplacent tous les jours au novotel... Au niveau des repas c'est la catastrophe : 135€ de petit déjeuner à 5 chaque jour pour le niveau d'un Ibis Style.  Dîner buffet à l'hôtel pour 230€ à 5 pour une nourriture équivalente à un flunch à peine amélioré. Aux 2 bars ce n'est pas beaucoup mieux. Le premier…,avril 2022,,Tacha H a écrit un avis (avr. 2022),False
,Excellent séjour dans ce magnifique hôtel,5,De retour sur le parc Disney après la période COVID. Habitués des suites Kompass de l’hôtel Newport nous avons inauguré l’hôtel MARVEL. Un immense établissement extrêmement bien tenu. L’esthétique de l’hôtel est superbe contemporaine et élégante. Le restaurant Manhattan est hyper chic et la cuisine italienne qui y est servie est réussie pour un établissement de cette taille. Le Bar skyline est extrêmement agréable et ludique. Les petits-déjeuners sont variés. Les activités sont nombreuses. Notre chambre était confortable et accueillante. Merci encore à Karima pour ses multiples attentions notamment à l’occasion de l’anniversaire de notre fils et à l’équipe du Manhattan animée par Nicola pour ce mémorable dîner.,avril 2022,,Renaud B a écrit un avis (avr. 2022),False
Toulouse France,Superbe,4,Habitué du Disneyland hôtel nous nous sommes « rabattus »  sur celui-ci car dans le disney village et parc accessible à pied. A votre arrivée le hall est majestueux de sublimes dessins et hauteur sous plafond impressionnante. Le Check in un peu long a mon long mais a l’heure du Covid …. Bref nous récupérons nos pass et direction le parc. Le plus : vous recevez un sms quand votre chambre est prête et un code d’accès pour ouvrir votre porte. Le soir à arrivée nous découvrons une sublime chambre avec beaucoup de petites attention : chocolats macarons bonbons et cadeaux à l’effigie de l’hôte pour les enfants ( sacs et gourdes ). Bref n’hésitez plus réserver sans hésiter surtout si vos enfants sont fans des héros Marvel. Chez nous ma fille est plutôt princesse et mon fils grandit…,novembre 2021,,estellerogg a écrit un avis (avr. 2022),True
Lille France,PERFECTION À TOUS NIVEAUX,5,Excellente expérience… À l’arrivée à l’hôtel à 9 heures la chambre était déjà disponible ! Et les bagages livrés en moins de temps qu’il faut pour le dire !  Une superbe chambre au 6e étage à l’Empire State Club .. Une chambre spacieuse et hyper lumineuse grâce à sa baie vitrée immense TV miroir design machine expresso .. Literie de qualité fauteuils et canapé confortables …  Salle de bains très propre bien organisée  ..  Un room service rapide impeccable professionnel.. grande gentillesse du serveur (Sébastien) … service parfait assiettes de charcuteries et fromages italiens excellentes ! Belle vaisselle et verrerie..  Vraiment une merveilleuse expérience.. la rénovation de l’hôtel est Mega réussie et on n’a qu’un seul regret : que le séjour se termine ! Vivement le…,avril 2022,,ChristophePretre a écrit un avis (avr. 2022),True
Reims France,Hôtel magique et personnel par,5,Nous venons de réaliser un séjour de 3 nuits / 4 jours au sein de l'Hotel Disney's New York The Art Of Marvel en chambre Empire State Club vue lac Accueil à l'Empire State Club excellent pro et chaleureux. Chambre avec vue lac magnifique et parfaitement équipée. Suite à un petit soucis en milieu de séjour avec la chambre. Les Casts Members de l'Empire State Club nous ont basculé dans une suite Super Héro encore plus magique. Merci pour leur réactivité et leur gentillesse. De même pour toutes les équipes du lounge privatif pour le petit déjeuner et goûter. Personnel absolument parfait et dévoué de gentillesse. Merci également pour la visite de l'hôtel d'1 heure très intéressante.  Concernant les parcs rien à redire. Le spectacle de drones est incroyable. Le nouveau show sur…,avril 2022,,Alexandre M a écrit un avis (mars 2022),False
Amneville France,Hôtel très sympa,5,Alors nous avons séjourné pour une nuit à l’hôtel New York The art of Marvel .. nous avons opté pour une chambre supérieure la chambre très spacieuses avec une vue sur jardin .. la chambre très grande avec deux grands lits une salle de bain douche italienne vous retrouverez dans la chambre une machine espresso À capsule ainsi qu’une bouilloire et du thé disponible vous avez également un coffre fort à frigo et deux bouteilles de Vittel à l’intérieur l’hôtel est superbe .. petit hic sur trois ascenseurs que deux fonctionner c’est dommage quand tout le monde rentre à la même heure il faut un peu faire la queue pour rejoindre sa chambre l’hôtel se trouve à huit minutes à pied de Disney et du Walt Disney studio ..,mars 2022,,Stecy R a écrit un avis (mars 2022),True
,On y retournera !!!,5,Nous avions réservé un séjour de 3 jours et donc deux nuits au New York Hôtel Marvel dans une des suites Spiderman. Nous avons tous adorés et y retournerons dès que possible !!! L’hôtel est incroyable au niveau de la déco. La suite était spacieuse super bien décorée aussi avec une salle de bain et une salle d’eau. La piscine est top. Et nous avons mangé au Manhattan Restaurant qui était très bien. Tout le personnel de l’hôtel est aux petits soins pour répondre au mieux à nos attentes. Un grand merci.,février 2022,,Alexandra a écrit un avis (mars 2022),False
Longjumeau France,Super hôtel!,5,Un super hôtel j'ai pris une chambre standard accueil impeccable chambre très propre et grande machine à café eau gels douche disponibles dans la chambre peignoir disponible en demandant à l'accueil.  Je reviendrai dans cet hôtel ^^,janvier 2022,,plume77160 D a écrit un avis (mars 2022),False
Franconville France,Incroyable,5,Nous y revenons d'un week-end de 2 jours et bien nous sommes un peu déçu de ne pas être rester plus longtemps. L'hôtel est juste incroyable. Pour les fan de Marvel vous êtes au bon endroit la déco l'odeur l'ambiance tout y est. Les chambres sont top bien décorés les équipements sont géniaux la télé est extra j'aimerai la même à la maison! Une machine à café et une bouilloire sont à disposition dans les chambres. La piscine est sympa aussi un peu profonde je n'avais pieds nul part donc avec les enfants pas très pratique. L'hôtel est à 5 min de l'entrée des parcs. Bref un week-end au top du top. On a adoré et on pense déjà à revenir l'année prochaine.,mars 2022,,clureclure a écrit un avis (mars 2022),True
Chateau Chinon France,Séjour au top,5,Second séjour en quelques mois à l'étage club de l'hôtel : chambre empire state club.  Que dire tout était absolument parfait un séjour de rêve.  Je remercie tout particulièrement Frédéric de la réception empire state club qui a su admirablement nous accueillir et  nous conseiller aussi bien en ce qui concerne l'hôtel et les parcs. Ses collègues sont bien sûr tout aussi compétents mais n'ayant pas vu tout le monde je ne peux pas les citer au risque d'en oublier  Nous avons beaucoup apprécié aussi les poses au lounge ou tout au long de la journée des boissons sont offertes ainsi qu'un goûter en fin d'après midi. Le personnel est là aussi au top et aux petits soins.  Les chambres sont très spacieuses et confortables la déco de l'hôtel ravira les fans de Marvel et les moins…,février 2022,,kate5858 a écrit un avis (mars 2022),False
Ville de Bergerac France,Aux pays de Marvel,4,Nous venons de passer 3 jours dans ce magnifique hôtel. Le personnel est au top. La décoration  vaut le coup d'œil avec tous ces tableaux grandeurs nature la chambre est sublime (pour info 2 lits en 140). La piscine est grande chauffée et jacuzzi. Le parfum d'ambiance sent trop bon. Le repas sous forme de buffet plus que correct craquage sur les desserts excellents. A 10mn à pieds des parcs. A faire les photos au station héros  Marvel. Petit bémol aucun personnage le matin dans le hall c'est dommage...,mars 2022,,lolo241975 a écrit un avis (mars 2022),False
Bretagne France,Très bon hôtel mais services pas au rdv,3,Venu en famille nous avions 4 chambres de réserver donc un budget important. L hôtel est vraiment très beau chambre magnifique et confortable. Le problème est que je me suis levée de bonne heure le lendemain matin pour profiter de la piscine j ai dut faire demi tour car celle-ci était fermée car ils avaient des  problèmes avec l'eau. On m a gentiment dit de revenir dans 2 à 3h voir fin de matinée. Ce qui est impossible car il faut rendre la chambre et puis en l occurrence un parc à visiter.  Pour avoir un renseignement à l accueil ce n est pas possible non plus car foule gigantesque en attente. Au petit déjeuner nous n avons pas pu rejoindre le reste de la famille à tabler à quelques minutes  Près on nous a demandé si nous avions un ticket horaire pour déjeuner. Ce ticket…,septembre 2021,,mand a écrit un avis (mars 2022),False
Lille France,Hotel très bien mais ...,4,"Au sujet de l'hôtel rien à dire de négatif il est très beau les détails sont soignés et beaucoup d'activités à faire même à l'intérieur de l'hôtel. La piscine est un peu froide et profonde; pas pratique si on a des enfants mais en soit c'est un bel endroit également. Nous avions une chambre vue sur le lac elle est magnifique et la vue est incroyable. Le personnel de l'hôtel est charmant très gentil et aux petits soins.  Par contre la sécurité du parking ... j'ai failli faire demi-tour. L'amabilité ? Ne connais pas. La politesse ? Non plus. En guise de bonjour en arrivant ""votre pass !"". Nous n'avions pas de place pour nous garer et après avoir tourné une quinzaine de minutes nous avons demandé poliment s'ils avaient une solution en réponse ""vous voulez que j'agrandisse…",octobre 2021,,Alexia Thornton-Darcy a écrit un avis (mars 2022),False
,Un séjour magique,5,Rien a dire sur l hôtel. Équipe au top chambre parfaite. Et les repas aussi bien le matin que le soir était super. Un effet wahou quand on arrive aussi bien pour les enfants que les parents. On a vécu un séjour de rêve à Disney. Merci beaucoup,mars 2022,,Vanou L a écrit un avis (mars 2022),False
Courcelles-sur-Vesles France,Parfait,5,Tout était parfait aussi bien le standing de l'hôtel que l'importance que le personnel donne à ses clients ...   Aucune déception  ne changez rien !   Et la cerise sur le gâteau nous sommes à 5 min à pieds du parc  pas besoin de navette !  20 ans qu'on fait disney avec des hôtels différents et vous êtes notre top 1,mars 2022,,evasion2000 a écrit un avis (mars 2022),False
Publier France,Séjour hôtel New York art of Marvel,5,Bonjour vous souhaitez être dans l'univers Marvel ainsi que l'esprit de New-York alors cette hôtel est fait pour vous et vos enfants.nous avons passé en Demi pension Un séjour inoubliable incroyable.l hôtel et tous simplement une attraction a lui seul.magifique stylé extrêmement agréable.la chambres étaient magnifiques très très grand confort.le restaurant Downtown est a recommandé  très large choix de plats Ils y en a pour tous les goûts ET la déco est top.nous nous sommes délasser dans la magnifique piscine ainsi que le jacuzzi . après une bonne journée dans le parc c'est idéal.enfin le bar le Skyline est extraordinaire quel déco l'ambiance art déco merci a Estelle qui nous as très bien conseiller et accueilli.  Et la baie vitrée vue sur....je ne vous en dit pas plus…,février 2022,,Sebastien L a écrit un avis (mars 2022),False
Charvieu-Chavagneux France,Le meilleurs hôtel Disneyland Paris,5,Exceptionnel ! On se sent privilégié avant même son arrivée ! Le prix est élevé mais ça vaut vraiment le coup. Le personnel est au petit soin les chambres très confortable la piscine géniale le cadre est trop beau bref pour les fans de Marvel c'est a faire au moins une fois pas déçue et mes enfants pour lesquels c'était une vrai surprise sont répartis des étoiles pleins les yeux! On m'a même apporter mon pass photo dans le parc car on avait oublier de me le donner bref un oubli sans conséquence grâce au service exceptionnel des Guest. C'était PARFAIT !,février 2022,,Audrey a écrit un avis (févr. 2022),True
Besançon France,Hôtel très accueillant !!,5,  Hôtel très accueillant. Le personnel de l'hôtel est très à l'écoute professionnel et très agréable. Le lit ( matelas oreillers parfait) . La salle de bain rien à dire tout était parfait. Baignoire/douchelavabo doubleWC. Hôtel très calme malgré le monde présent. Le bar est magnifique. Boutique Marvel un peu petite mais on y trouve pour tous les goûts. Enregistrement avant 10h et accès à la chambre pour 15h . Libérer la chambre avant 11h le lendemain . Le restaurant Manhattan est magnifique et la qualité du repas était au rendez-vous. Superbe séjour.,février 2022,,Anna V a écrit un avis (févr. 2022),False
Rennes France,Super Hôtel !,5,Nous avons passés un excellent séjour à l'hôtel Marvel. Les chambres sont spacieuses et le personnel agréable. Nous avons adorés le restaurant Manhatan qui est dans l'hôtel et qui vaut le détour. La déco est soignée. L'hotel est idealement situé au Disney village. Merci pour tout nous reviendrons sans hésiter.,février 2022,,Jessica a écrit un avis (févr. 2022),False
Seine-Saint-Denis France,Dîner romantique au Manhattan😘😍,5,Excellent! Hôtel bien situé. Propreté irréprochable. Un personnel à l'écoute très serviable réactif. Un service de très haut vol. Une mention spéciale va au restaurant Manhattan ; nous avons passé une soirée fantastique le personnel est super-sympa à l'écoute du client. Excellents conseils sur le vin qui a accompagné notre dîner. Merci pour la carte LOVE.,février 2022,,jacques a écrit un avis (févr. 2022),False
Suisse,Catastrophe au restaurant Manhattan !!,3,Accueil efficace avec contrôle pass vaccinal rapide voiturer et réception express bravo pour l organisation à 11h un mercredi matin . L intérieur de m hôtel est propre  soigné et ça sent bon ! Sans doute un diffuseur d odeurs très agréable. Magic Pass en poche on fonce à Disneyland qui se trouve à 5 minutes à pieds c est top ! De retour à 16h on récupère notre chambre . Jolie pratique ! Gros bémol concernant la taille des lits double  vraiment trop juste pour deux adultes . Décoration sympa et salle de bains de bonne taille . Conciergerie efficace qui nous a trouvé une table au Manhattan restaurant. Voilà la seule grosse grosse déception de cet hôtel … le Manhattan ! Surtout n y aller pas !  Nous avons mangé à la carte jamais vu des prix aussi exorbitants  c est vraiment…,février 2022,,Candide03 a écrit un avis (févr. 2022),False
,L’expérience à vivre une fois à Disney,5,Hôtel majestueux et moderne. Les super-héros Marvel sont partout. L’accueil à l’Empire State Club est top. Le personnel est souriant serviable et dans un souci constant de faire vivre un moment magique aux guests.  Le déjeuner et le goûter du Lounge ESC est de qualité et diversifié (en fonction des saisons le buffet varie selon l’origine majoritaire des clients). Les chambres (et les suites) sont préparées tous les jours (refaire le lit nouvelles serviettes café …). Tous les Castmember sont ouverts gentils et prêts à nous aider nous conseiller et nous faire plaisir.,février 2022,,Taillou a écrit un avis (févr. 2022),True
,Très belle expérience,5,Une très belle expérience dans l'univers de Marvel qui interpelle autant les grands que les plus jeunes. L'hôtel est propre confortable avec énormément d'activités à l'intérieur : Spiderman piscine salle de sport salle pour les jeunes bars... La nourriture est bonne le personnel extrêmement serviable et désireux de faire passer un excellent moment immersif pour nos enfants.   Le prix est bien sûr important. Mieux vaut assumer cela et se préparer mentalement pour ne pas être frustré à l'arrivée. Nous avions économisé en conséquence et je ne regrette pas l'expérience en elle-même.  Le danger : difficile aujourd'hui d'envisager DisneyLand autrement qu'avec un séjour dans cet hôtel.,août 2021,,sametpau a écrit un avis (févr. 2022),False
Maubeuge France,Excellent séjour à tous niveaux,5,Nous avions une suite super héros en novembre 2021. Nous avons été enchantés  émerveillés dès l entrée dans cet immense hall d entrée. Tout est splendideaux couleurs de Marvel. Direction l accueil privatif pour l enregistrement de notre séjour avec un personnel très professionnelaimablerespectueux et qui n hésite pas à vous renseigner dès la moindre interrogation. Après l enregistrement nous sommes allés passer la journée au parcrevenus vers 15h pour découvrir cette somptueuse suite . Merci à toutes et tous pour toutes ces petites attentions qui nous ont profondément touchées surtout pour nos enfants. Le waouh... était là dès l'ouverture de la porte. Une immense chambreun grand salonune salle de bain magnifique avec baignoire spa et douche a l italiennesans parler de la…,novembre 2021,,Elmut A a écrit un avis (févr. 2022),False
Meze France,Services d'un 4 étoiles absents,3,En soit l'hôtel est beau : l'expérience immersive est réussie. Le personnel est d'une gentillesse extrême. Avec une mention spéciale pour Candida de la salle de petit déjeuné de l'empire state club. Tous le personnel est particulièrement au petit soin très dévoué...Les chambres sont belles bien rénovées. Un bémol aux salles de bain qui n'ont rien de particulier et présentent déjà quelques malfaçons... Ma plus grande déception repose sur le service en chambre PAYANT !!! 10 € par personne ! Sachant que dans cet hôtel 4 étoiles j'étais en chambre empire state club !! En France le room service est un minimum dans les 4 étoiles ! J'ai payé un séjour particulièrement cher pour obtenir de vrais services !!! ...C'est une véritable arnaque !,décembre 2021,,JO JOSEPHYNE a écrit un avis (févr. 2022),False
Sassenage France,Weekend à Disney,4,Suite à une réservation groupée (hôtel + entrée au parc) à partir de l hôtel il est fort regrettable que l hôtel n indique pas qu il faille récupérer les billets d entrée à l hôtel.  Ça nous aurait éviter de faire 45 minutes de queue !  En revanche l hôtel les  bars et restaurants sont à la hauteur de la prestation.   Nous recommandons.,février 2022,,Coralie a écrit un avis (févr. 2022),False
Le Muy France,Juste WHAOU,5,MAGNIFIQUE ! L'hôtel est superbe ! La thématisation et l'immersion dans l'univers de Marvel est parfaite !  Les chambres sont vraiment confortables et la décoration est épurée et moderne . On a adoré y séjourner ! Les cast members sont vraiment adorable chaleureux et à l'écoute !  Gros plus pour la rencontre avec Spider Man ! Ma fille en est sortie des étoiles plein les yeux! Le bar et les restaurants ainsi que la boutique sont au top !  Hâte de revenir ! ,janvier 2022,,DisneyDreams1420 a écrit un avis (févr. 2022),True
Caen France,Whaou,5,Nous avons passé une nuit à l'hôtel Marvel et qu'elle expérience. Nous sommes ravis l'accueil est excellentla déco est fabuleuse l'ambiance est magique. Je déconseille le restaurant Downtownun peu trop bruyant même si les cast ont été d'une gentillesse hors pair Je recommande j'espère pourvoir revenir mais le prix freine un peu la fidélité,février 2022,,61nlm14 a écrit un avis (févr. 2022),True
Saint Brice Sous Foret France,Magique,5,Une première fois dans un hôtel Disney. Nous habitons à 45 minutes du parc du coup habituellement nous rentrons chez nous.  Cette fois nous avons réservé 2 jours dans les parcs et 1 nuit à l'hôtel Marvel.  Une découverte incroyable un séjour de rêve. Nous en avons pris plein les yeux !  Une chambre spacieuse magnifique très propre.  Les lits sont bien grand nous sommes grands (1m80 pour moi et 1m82 pour mon mari).  L'accueil est chaleureux. Le petit déjeuner copieux il y a du choix et c'est de qualité. Nous avons vraiment passé un séjour merveilleux. Merci pour ces étoiles dans nos yeux ,février 2022,,Emi O a écrit un avis (févr. 2022),True
,Excellent,5,Très bel hôtel bien situé bien décoré avec une belle piscine petit déjeuner excellent des activités proposées aux enfants la possibilité de prendre des photos avec Spiderman les chambres sont très spacieuses le personnel est très agréable et aux petits soins. Notre séjour en famille était parfait.,février 2022,,Asilys a écrit un avis (févr. 2022),True
,Très bon séjour,5,Nous avons passé un très bon séjour dans cet hôtel le personnel est très accueillant et disponible la chambre est propre et la literie confortable  nous avons eu la chance d’avoir une jolie vue sur le château depuis notre chambre le lit bébé a été mis à notre disposition. Il y a des prises pour recharger les voitures électriques ce qui est très agréable. Nous reviendrons avec plaisir.,février 2022,,MarieGLVV a écrit un avis (févr. 2022),False
,Magnifique,5,Séjour incroyable dans un cadre magnifique et tout en détail Marvel ! Le personnel est très accueillant et à disposition. Pleins de services disponibles pour passer un séjour de rêve. Chambre moderne et très confortable. Je recommande pour passer un agréable moment.,février 2022,,Emeline a écrit un avis (févr. 2022),False
Orange France,Séjour chez Marvel,5,Découverte pour nous dans cet hôtel qui nous plonge entièrement dans l’univers Marvel. Tout est fait et pensé avec goût. Les équipes sont super accueillante. La piscine est parfaite après une journée au parc. Chambre très agréable avec une superbe vue sur le lac. Les restaurants sont un peu cher malgré tout.,février 2022,,Sarah a écrit un avis (févr. 2022),False
Sanary-sur-Mer France,31 degrés la nuit en hivers dans les chambres ,4,Nous avons trouvés cet hôtel très Joly et la déco au top. Par contre GROS problème de chauffage clim dans nos 3 chambres!!!! 31 degrés la nuit dans les chambres c'est compliqué ! Ils connaissent le problème mais n'arrivent pas à le régler... Dommage pour un 4 étoiles c'est inadmissible ! Première et dernière fois pour nous !! ,février 2022,,TEMATIS83 a écrit un avis (févr. 2022),True
,Séjour très agréable,5,Nous étions déjà venus en juin pour l ouverture et nous étions déjà ravis. Très bel hôtel belles prestations personnel souriant et accueillant. Nous reviendrons très prochainement avec grand plaisir... Seul reproche qui n a rien a voir avec l hôtel la difficulté à les joindre... Impossible de joindre quelqu'un avant le séjour.,février 2022,,"Caro ""0329"" a écrit un avis (févr. 2022)",False
Rouen France,Des étoiles plein les yeux ! ,5,"Nous avons séjourné sur l'hôtel ""The Art of Marvel"" et que dire ...   Nous sommes plongés ds l'ambiance Marvel du début à la fin pour notre plus grand plaisir ! L'hôtel est très propre un petit parfum d'ambiance très agréable le décor sublime la piscine très appréciable après un journée sur les parcs les cast members très sympathiques !  Concernant la chambre la propreté est irréprochable (bravo aux agents d'entretien qui doivent avoir un travail colossal) l'équipement très suffisant (frigo vittel café thé... gel douche shampoing linge de toilette...) la literie très confortable la nuit très calme malgré l'immensité de l'hôtel !  Bravo !!   Un seul petit couac nous avions réservé une chambre avec vue que nous n'avons pas eue (vue sur un arbre et le parc sportif…",février 2022,,Hélène C a écrit un avis (févr. 2022),True
Vireux-Wallerand France,Un magnifique séjour,5,Nous avons passé en famille deux nuits au sein de cet hôtel et nous en gardons un très bon souvenir. Il a été très joliment décoré la chambre est magnifique le parfum d'ambiance agréable la literie très confortable. La chambre comporte tout ce qu'il faut pour passer un séjour agréable: machine à expresso table à repasser nombreuses prises plusieurs oreillers eau vittel frigo ) Le petit déjeuner très bon également accompagné d'une jolie musique d'ambiance. Le personnel est souriant et attentionné. Nous reviendrons avec plaisir dans ce superbe hôtel,février 2022,,Angélique M a écrit un avis (févr. 2022),False
Lyon France,Sentiment mitigé,3,Après un séjour de 3 jours dans cet hôtel nous avons un sentiment un peu mitigé.   L’hôtel est très joli moderne et respecte bien le thème Marvel. Mais le service en rapport qualité/prix n’est pas vraiment respecté. Nous avons eu plusieurs déception pendant les trois jours que nous n’aurions pas attendu d’un hôtel de ce standing.   La chambre est moderne et élégante mais nous avions 2 lits double pour 3 adultes et clairement le lit double n’est pas approprié pour 2 adultes. Nous n’avions jamais eu ce problème dans les autres hôtels Disney mais là nous avons vraiment été choquée de la petite taille du lit.   Concernant le petit-déjeuner et le buffet du soir on pourrait s’attendre à beaucoup mieux vu le prix. Nous avons été très déçues car en effet il y a très peu de choix…,janvier 2022,,Carol'Ann a écrit un avis (févr. 2022),False
Rouen France,Belle expérience,4,Très bel hôtel rénové on s’y sent bien l’expérience avec Spiderman et les décors est sympa. Très belle chambre avec tv connectée chromecast pour regarder disney+ ou autre. Petit bémol sur les lits on avait 2 lits en 140 donc bien pour les enfants mais trop petit pour 2 adultes même au séquoia comme au Newport on avait des 160 ou 180 est ce normal? Le bar est top avec de supers cocktails c’est bon c’est pro mais le prix va avec… On y retournera avec plaisir si on est sûr d’avoir un lit plus grand.,février 2022,,pierre a écrit un avis (févr. 2022),False
Grenoble France,Hotel sublime mais froid....,4,"Tres bel hôtel juste sublime même...mais tellement froid...on ne retrouve pas la chaleur des hôtels Disney qui caractérise tant le groupe. Cela fait très...Tony stark...en même temps c'est le but et cela est réussi. Fidèle des hôtels Disney avec une ambiance plus chaleureuse je n'ai pas accroché bien quelle personnel était juste au top et ultra gentil donc rien à dire de ce coté là. Cest juste le côté ""USINE"" avec ces grand espaces et ce métal avec lequel jai du mal a accrocher. Mes ados ont adoré par contre. Les chambres sont belles et spacieuse comme anciennement au New york mais dommage au niveau de la prestation chambre standard plus de petits gel douche ni de baume corporel dans la salle de bain. Cependant on m'en a fourni à la demande car jetais persuadé que comme au NPBC…",janvier 2022,,manelchahin a écrit un avis (janv. 2022),True
Aix-en-Provence France,Anniversaire de Rêve en famille à l’Hotel New York Marve!,5,Anniversaire de Rêve à l’hôtel New York Thé Art of Marvel! De retour à l’Empire State Club pour fêter les 10 ans de notre fils nous avons passer un séjour de rêve! Grâce à toute l’équipe de l’Empire State Club avec une mention pour Frédéric avec un accueil génial et des attentions particulières😉 c’est toute la famille qui a rêver! Séjour au top à Disneyland les restaurants le Manathan et le Downtown supers!  Le bar le Skyline et son équipe juste magic! Un sans faute de A à Z!👍 Un grand Merci et à très vite!!!❤️,janvier 2022,,xav x a écrit un avis (janv. 2022),False
Bordeaux France,Des étoiles plein les yeux !,5,Pour les fans de Marvel c'est juste le paradis !  Les chambres sont spacieuses lumineuses et parfaitement dans le thème au point de vue décoration. Le personnel à l'accueil comme dans les restaurants et bar est extrêmement aimable et compétent c'est un vrai plaisir de séjourner dans ces conditions. Un seul bémol c'est le restaurant qui est très beau mais ne propose pas des plats de grande qualité. Je pense que cela peut être amélioré. Nous reviendrons certainement à l'hôtel mais nous dinerons probablement ailleurs. Comme c'était un séjour de dernière minute nous n'avons pas eu le temps de prévoir une autre solution.,décembre 2021,,olimarie a écrit un avis (janv. 2022),False
