pays,titre,note,commentaire,dateSejour,situation,dateCommentaire,photo
1 contribution,Moment de magie,4,Moment de magie,sept. 2022, En famille,septembre 2022,False
Nice France2 035 contributions,Un peut déçu !,3,Un peut déçu !,sept. 2022,,septembre 2022,True
7 contributions,Expérience déplorable,1,Expérience déplorable,sept. 2022, Entre amis,septembre 2022,True
Lausanne Suisse288 contributions,Comment vider son porte-monnaie rapidement pour un service et des attractions mauvaises,1,Comment vider son porte-monnaie rapidement pour un service et des attractions mauvaises,sept. 2022, En famille,septembre 2022,False
1 contribution,Naze long arnaque,5,Naze long arnaque,sept. 2022, En famille,septembre 2022,True
Toulouse France139 contributions,Mitigée,3,Mitigée,sept. 2022, En couple,septembre 2022,False
Bages France57 contributions,30 ans de Disney,2,30 ans de Disney,sept. 2022, En famille,septembre 2022,False
1 contribution,Lamentable,1,Lamentable,sept. 2022, En famille,septembre 2022,False
2 contributions,Mauvaise journée : beaucoup trop de pannes,1,Mauvaise journée : beaucoup trop de pannes,sept. 2022, En famille,septembre 2022,False
1 contribution,J'ai adoré ! Je veux y retourner,5,J'ai adoré ! Je veux y retourner,sept. 2022, En famille,septembre 2022,True
Mulhouse France2 contributions,PARC DISNEY EN RECUL SUR TOUT,3,PARC DISNEY EN RECUL SUR TOUT,sept. 2022,,septembre 2022,False
4 contributions,Disneyland en perte de vitesse sur la qualité de service,3,Disneyland en perte de vitesse sur la qualité de service,sept. 2022,,septembre 2022,False
Saint-Denis Ile de La Réunion5 contributions,I have a dream…,4,I have a dream…,sept. 2022,,septembre 2022,False
Lutterbach France4 contributions,Mauvais Parc à éviter,1,Mauvais Parc à éviter,sept. 2022, Entre amis,septembre 2022,False
La Réunion75 contributions,bonne connaissance de DLP exigée pour s'y amuser et un budget !,4,bonne connaissance de DLP exigée pour s'y amuser et un budget !,août 2022,,septembre 2022,False
Saint Sulpice Suisse12 contributions,belle balade 30 ans plus tard,4,belle balade 30 ans plus tard,août 2022,,septembre 2022,False
2 contributions,Passeport annuel,1,Passeport annuel,mai 2022,,septembre 2022,False
7 contributions,Bof ...Ne vaut  sûrement pas le prix!,3,Bof ...Ne vaut  sûrement pas le prix!,sept. 2022, En famille,septembre 2022,False
1 contribution,Disney reste Disney,4,Disney reste Disney,sept. 2022, En famille,septembre 2022,False
Alsace France17 contributions,Satisfaction ternie par la surpopulation et l'absence de nouveautés,3,Satisfaction ternie par la surpopulation et l'absence de nouveautés,sept. 2022,,septembre 2022,False
2 contributions,Déplorable,1,Déplorable,sept. 2022, En famille,septembre 2022,True
1 contribution,attente interminable et coût trop important,2,attente interminable et coût trop important,août 2022, En famille,septembre 2022,False
Varangéville France9 contributions,Minable,1,Minable,,,septembre 2022,True
Bruxelles Belgique244 contributions,"Disneyland ""30 ans"" Trop de monde temps attente interminable attractions fermées/fermées temporairement ",2,"Disneyland ""30 ans"" Trop de monde temps attente interminable attractions fermées/fermées temporairement ",sept. 2022, En famille,septembre 2022,True
Châlons-en-Champagne France286 contributions,C'était notre 1ère fois et ce sera la dernière !,2,C'était notre 1ère fois et ce sera la dernière !,,,septembre 2022,True
Athènes Grèce2 contributions,AUCUNE ORGANISATION,1,AUCUNE ORGANISATION,sept. 2022, En famille,septembre 2022,False
le mans15 contributions,magnifique ...mais,4,magnifique ...mais,sept. 2022, En couple,septembre 2022,False
2 contributions,Où est la qualité de Disney?,2,Où est la qualité de Disney?,sept. 2022,,septembre 2022,False
Marseille France1 147 contributions,Fêtons les 30 Ans de Médiocrité,3,Fêtons les 30 Ans de Médiocrité,sept. 2022,,septembre 2022,True
3 contributions,Séjour très sympathique,4,Séjour très sympathique,,,septembre 2022,True
1 contribution,Horrible,1,Horrible,sept. 2022, En famille,septembre 2022,False
Salon-de-Provence France73 contributions,Magnifique séjour ,4,Magnifique séjour ,,,septembre 2022,False
17 contributions,Très grosse déception / parc à fuir,2,Très grosse déception / parc à fuir,sept. 2022, Entre amis,septembre 2022,False
1 contribution,Déception totale,1,Déception totale,sept. 2022, En famille,septembre 2022,False
Melesse France1 contribution,A visiter une fois dans sa vie,4,A visiter une fois dans sa vie,sept. 2022, Entre amis,septembre 2022,False
5 contributions,Triste,2,Triste,juin 2022, En famille,septembre 2022,False
Paris France269 contributions,LAMENTABLE,1,LAMENTABLE,sept. 2022, Entre amis,septembre 2022,False
Genève Suisse15 contributions,Immersion assurée,5,Immersion assurée,août 2022, En famille,septembre 2022,False
37 contributions,Des étoiles pleins les yeux,5,Des étoiles pleins les yeux,août 2022, En famille,septembre 2022,False
3 contributions,N'oubliez pas de réserver votre venue aux Parcs sinon vous ne rentrez pas !,1,N'oubliez pas de réserver votre venue aux Parcs sinon vous ne rentrez pas !,août 2022,,septembre 2022,False
La Trinite-sur-Mer France82 contributions,Prix magique !!!! Compte en banque vide !!!,1,Prix magique !!!! Compte en banque vide !!!,,,août 2022,False
2 contributions,une escroquerie,1,une escroquerie,août 2022, En famille,août 2022,False
Melun France2 contributions,Mickey des riches et mickey des pauvres,1,Mickey des riches et mickey des pauvres,août 2022, En famille,août 2022,False
Assesse Belgique22 contributions,Disney est un monde féérique,4,Disney est un monde féérique,août 2022, En famille,août 2022,False
Paris France181 contributions,Toujours aussi beau et magnifique !,5,Toujours aussi beau et magnifique !,,,août 2022,True
3 contributions,Génial,5,Génial,févr. 2022, En famille,août 2022,False
2 contributions,Très beau parc mais...,3,Très beau parc mais...,août 2022,,août 2022,False
LIEGE67 contributions,Magique tout simplement... mais gare au virage mercantile Disney !,4,Magique tout simplement... mais gare au virage mercantile Disney !,avr. 2022,,août 2022,False
4 contributions,Déçu avant d'y aller en septembre 2022 merci Mickey ,2,Déçu avant d'y aller en septembre 2022 merci Mickey ,,,août 2022,False
20 contributions,Enfants désenchantés,1,Enfants désenchantés,août 2022,,août 2022,False
4 contributions,Super journée,4,Super journée,août 2022, En couple,août 2022,False
France10 contributions,Pas à la hauteur du prix,3,Pas à la hauteur du prix,août 2022, En famille,août 2022,False
1 contribution,Un service honteux,2,Un service honteux,oct. 2021,,août 2022,False
58 contributions,Beaucoup trop cher,3,Beaucoup trop cher,,,août 2022,True
1 contribution,Mauvais gestion des services pass annuels,1,Mauvais gestion des services pass annuels,août 2022, En couple,août 2022,False
1 contribution,Plus de 6h d’attente pour une journée 😡😡😡,1,Plus de 6h d’attente pour une journée 😡😡😡,août 2022, En famille,août 2022,True
1 contribution,Une Honte,1,Une Honte,août 2022, En famille,août 2022,False
La Croix Valmer France28 contributions,Plus jamais on se marche dessus !,1,Plus jamais on se marche dessus !,juin 2022, En famille,août 2022,True
4 contributions,Top sauf certains cast members,4,Top sauf certains cast members,août 2022, En famille,août 2022,True
Bruxelles Belgique206 contributions,En famille,4,En famille,,,août 2022,False
1 contribution,expérience gachée par la restauration,4,expérience gachée par la restauration,août 2022, En famille,août 2022,False
1 contribution,qu'une envie...y retourner,5,qu'une envie...y retourner,août 2022, En solo,août 2022,False
1 contribution,Très déçue,2,Très déçue,août 2022,,août 2022,False
2 contributions,Decu,1,Decu,août 2022, En famille,août 2022,True
Riom France2 contributions,Attristant,2,Attristant,août 2022, En famille,août 2022,False
Meze France247 contributions,Magique,4,Magique,,,août 2022,True
